Date;Date;SP-Open;SP-High;SP-Low;SP-Close;SP-Volume;SP-Adj Close;EN-Open;EN-High;EN-Low;EN-Close;EN-Volume;EN-Adj Close;BR-Open;BR-High;BR-Low;BR-Close;BR-Volume;BR-Adj Close;HK-Open;HK-High;HK-Low;HK-Close;HK-Volume;HK-Adj Close;SP-Return;EN-Return;BR-Return;HK-Return
1997-03-20;1997-03-20;785.77002;786.289978;778.039978;782.650024;497480000.0;782.650024;;;;;;;93370.0;93370.0;90890.0;93030.0;0.0;9303.0;12659.900391;12737.5;12460.5;12472.299805;0.0;12472.299805;-0.00397062234571;;0.0236575704225;-0.014156581917
1997-03-21;1997-03-21;782.650024;786.440002;782.650024;784.099976;638760000.0;784.099976;;;;;;;94300.0;94300.0;92790.0;93020.0;0.0;9302.0;12381.299805;12548.200195;12331.599609;12489.299805;0.0;12489.299805;0.00185261861054;;-0.000107492206815;0.00136302047463
1997-03-24;1997-03-24;784.099976;791.01001;780.789978;790.890015;451970000.0;790.890015;;;;;;;93320.0;93320.0;91900.0;93280.0;0.0;9328.0;12493.0;12749.099609;12493.0;12749.099609;0.0;12749.099609;0.00865965974727;;0.00279509782842;0.0208017909776
1997-03-25;1997-03-25;790.890015;798.109985;788.390015;789.070007;487520000.0;789.070007;;;;;;;94720.0;94720.0;93260.0;93800.0;0.0;9380.0;12834.700195;12914.900391;12784.599609;12832.5;0.0;12832.5;-0.00230121504316;;0.00557461406518;0.00654166910274
1997-03-26;1997-03-26;789.070007;794.890015;786.77002;790.5;506670000.0;790.5;;;;;;;93820.0;93820.0;92440.0;92720.0;0.0;9272.0;12808.599609;12854.299805;12740.0;12776.400391;0.0;12776.400391;0.001812251115;;-0.0115138592751;-0.00437168197935
1997-03-27;1997-03-27;790.5;792.580017;767.320007;773.880005;476790000.0;773.880005;;;;;;;;;;;;;12463.299805;12534.299805;12463.299805;12534.299805;0.0;12534.299805;-0.0210246616066;;;-0.0189490450041
1997-03-31;1997-03-31;773.880005;773.880005;756.130005;757.119995;555880000.0;757.119995;;;;;;;92720.0;92720.0;90200.0;90440.0;0.0;9044.0;;;;;;;-0.0216571172426;;-0.0245901639344;
1997-04-01;1997-04-01;757.119995;761.48999;751.26001;759.640015;515770000.0;759.640015;;;;;;;91400.0;91400.0;89820.0;91380.0;0.0;9138.0;12230.099609;12230.099609;11951.900391;12074.200195;0.0;12074.200195;0.00332842880474;;0.0103936311367;-0.0367072446932
1997-04-02;1997-04-02;759.640015;759.650024;747.590027;750.109985;478210000.0;750.109985;;;;;;;92540.0;92540.0;91210.0;92370.0;0.0;9237.0;12167.799805;12177.0;12067.900391;12136.299805;0.0;12136.299805;-0.0125454554945;;0.010833880499;0.00514316550969
1997-04-03;1997-04-03;750.109985;751.039978;744.400024;750.320007;498010000.0;750.320007;;;;;;;93640.0;93640.0;92210.0;93020.0;0.0;9302.0;12036.400391;12270.700195;12013.5;12055.200195;0.0;12055.200195;0.000279988273986;;0.00703691674786;-0.00668240001508
